,Unnamed: 0,id,scrape_id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews
1269,1269,14404300,20240925021012,87160233,1.0,1.0,1.0,3.0,19.40807,-99.12523,1.0,1.0,1.0,1.0,650.0,2.0,1125,2.0,1125.0,5,58,333,24.0
1270,1270,14412854,20240925021012,31483807,1.0,1.0,1.0,1.0,19.41745,-99.15641,3.0,1.0,1.0,1.0,919.0,1.0,1125,2.0,1125.0,0,17,284,35.0
1271,1271,14424893,20240925021012,74856590,1.0,1.0,6.0,6.0,19.41639,-99.16823,3.0,1.5,1.0,1.0,2500.0,2.0,1125,2.0,1125.0,30,90,365,16.0
1272,1272,14429731,20240925021012,88800687,1.0,1.0,1.0,1.0,19.42665,-99.15622,1.0,1.0,1.0,1.0,679.0,1.0,60,1.0,60.0,0,0,82,30.0
1273,1273,14445735,20240925021012,60000817,1.0,1.0,6.0,6.0,19.40651,-99.1754,2.0,1.0,1.0,1.0,1273.0,3.0,30,3.0,30.0,8,38,119,27.0
1274,1274,14450945,20240925021012,69886882,1.0,1.0,6.0,6.0,19.34689,-99.16355,1.0,1.0,1.0,1.0,645.0,1.6,120,1.8,120.0,28,88,363,17.0
1275,1275,14451129,20240925021012,69886882,1.0,1.0,6.0,6.0,19.34859,-99.16301,1.0,1.0,1.0,1.0,645.0,1.6,180,1.8,180.0,27,87,362,11.0
1276,1276,13914159,20240925021012,46247902,1.0,1.0,6.0,6.0,19.34935,-99.2,2.0,1.0,1.0,1.0,901.0,1.0,1125,1.0,1125.0,30,90,365,27.0
1277,1277,13916407,20240925021012,82589142,1.0,1.0,1.0,1.0,19.40861,-99.16812,2.0,1.0,1.0,1.0,1543.0,3.0,1125,3.0,1125.0,17,53,312,27.0
1278,1278,13922976,20240925021012,75525375,1.0,1.0,2.0,2.0,19.4,-99.15897,1.0,1.0,1.0,1.0,300.0,1.0,365,3.0,365.0,16,76,351,3.0
1279,1279,13951864,20240925021012,30471639,1.0,0.99,2.0,4.0,19.40494,-99.16147,4.0,1.4748595090209995,2.0,1.9678361335646877,999.0,1.6,180,1.8,180.0,0,0,0,33.0
1280,1280,13952338,20240925021012,325071686,1.0,0.99,1.0,3.0,19.43673,-99.20024,4.0,2.5,2.0,2.0,2054.0,2.0,365,2.0,1125.0,10,62,152,27.0
1281,1281,13971523,20240925021012,29060598,1.0,1.0,1.0,1.0,19.39644,-99.17652,1.0,1.0,1.0,1.0,550.0,1.0,2,1.0,2.0,29,89,364,0.0
1282,1282,13975187,20240925021012,21970685,1.0,1.0,2.0,2.0,19.41569,-99.16982,2.9,2.0,3.0,1.6,2043.0,3.0,365,3.0,1125.0,8,21,173,27.0
1283,1283,13979143,20240925021012,28347866,1.0,0.95,1.0,2.0,19.40313,-99.18063,2.0,1.0,1.0,3.0,600.0,2.0,1125,2.0,1125.0,7,32,32,101.0
1284,1284,13980213,20240925021012,83403366,1.0,1.0,1.0,2.0,19.43128,-99.14323,2.0,1.0,1.0,1.0,527.0,2.0,1125,2.0,1125.0,29,82,357,27.0
1285,1285,13981214,20240925021012,83369983,1.0,1.0,2.0,2.0,19.4,-99.2,2.0,1.0,1.0,1.0,580.0,2.0,30,1.7,30.0,23,83,358,0.0
1286,1286,14009995,20240925021012,83753460,1.0,0.99,1.0,2.0,19.38412,-99.2,1.0,1.4748595090209995,1.5696453569762017,1.9678361335646877,999.0,1.0,1125,1.0,1125.0,0,0,0,0.0
1287,1287,14026346,20240925021012,83940680,1.0,0.99,6.0,6.0,19.41448,-99.17146,6.0,1.5,2.0,1.6,1054.0,1.0,1125,1.0,1125.0,9,58,58,121.0
1288,1288,14027701,20240925021012,83967510,1.0,1.0,7.0,7.0,19.41626,-99.16346,4.0,1.0,2.0,2.0,1681.0,2.0,365,2.0,1125.0,26,86,175,27.0
1289,1289,14476263,20240925021012,8926666,1.0,1.0,1.0,1.0,19.4024637,-99.1819018,2.0,2.0,1.0,1.0,1288.0,2.0,1125,2.0,1125.0,6,6,6,4.0
1290,1290,14488253,20240925021012,34272793,1.0,1.0,8.0,14.0,19.4,-99.16372,4.0,2.0,3.0,1.6,800.0,1.6,1125,1.8,1125.0,1,2,238,17.0
1291,1291,14489062,20240925021012,54497443,1.0,0.99,11.0,12.0,19.43687,-99.13837,6.0,2.0,2.0,3.0,2234.0,1.0,30,1.1,1125.0,27,87,154,47.0
1292,1292,14502548,20240925021012,130445271,1.0,0.99,5.0,12.0,19.43034,-99.13816,2.0,1.0,1.0,2.0,1099.0,2.0,1125,2.0,1125.0,11,56,331,27.0
